type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information,source_file
"2,4-dichlorophenol",Phanerochaete chrysosporium,unknown,immobilized,rotating biological contactor disks,unknown,unknown,unknown,efficiently degrades,whole fungi,,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt
"2,4,6-trichlorophenol",Phanerochaete chrysosporium,unknown,unknown,unknown,unknown,unknown,unknown,,whole fungi,,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt
polychlorinated guaiacols,Phanerochaete chrysosporium,unknown,unknown,unknown,unknown,unknown,unknown,,whole fungi,,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt
sulfanilic acid,Phanerochaete chrysosporium,unknown,unknown,unknown,unknown,unknown,unknown,,whole fungi,,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt
azo dyes,Phanerochaete chrysosporium,23-48%,nitrogen-limited ligninolytic cultures,unknown,unknown,unknown,unknown,extensively degraded,whole fungi,LIPS are more important than MNPs in decolorizing these dyes,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt
"4-amino-1,1'-azobenzene-3,4'-disulfonic acid",Phanerochaete chrysosporium,unknown,unknown,unknown,unknown,unknown,unknown,decolorized,whole fungi,two guiacol-substituted dyes are decolorized more readily than corresponding unsubstituted molecules,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt
orange II,Phanerochaete chrysosporium,unknown,unknown,unknown,unknown,unknown,unknown,extensively degraded,whole fungi,,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt
Congo red,Phanerochaete chrysosporium,unknown,unknown,unknown,unknown,unknown,unknown,decolorized,whole fungi,,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt
amaranth,Phanerochaete chrysosporium,unknown,unknown,unknown,unknown,unknown,unknown,decolorized,whole fungi,degradability may be enhanced by incorporating selected readily degradable substituents,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt
orange G,Phanerochaete chrysosporium,unknown,unknown,unknown,unknown,unknown,unknown,decolorized,whole fungi,,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt
indigo carmine,Coriolus antarcticus,100 µM,40 days culture,static,30 °C,5 h,5.2,93 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
malachite green,Coriolus antarcticus,100 µM,40 days culture,static,30 °C,5 h,5.2,86 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
azure B,Coriolus antarcticus,100 µM,40 days culture,static,30 °C,5 h,5.2,82 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
RBBR (Remazol Brilliant Blue R),Coriolus antarcticus,100 µM,40 days culture,static,30 °C,5 h,5.2,82 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
crystal violet,Coriolus antarcticus,100 µM,40 days culture,static,30 °C,5 h,5.2,77 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
xylidine,Coriolus antarcticus,100 µM,40 days culture,static,30 °C,5 h,5.2,58 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
indigo carmine,Stereum hirsutum,100 µM,40 days culture,static,30 °C,5 h,5.2,26.4 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
malachite green,Stereum hirsutum,100 µM,40 days culture,static,30 °C,5 h,5.2,3.6 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
indigo carmine,Trametes trogii,100 µM,40 days culture,static,30 °C,5 h,5.2,26.4 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
malachite green,Trametes trogii,100 µM,40 days culture,static,30 °C,5 h,5.2,3.6 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
xylidine,Coriolus antarcticus,100 µM,40 days culture,static,30 °C,2 h,5.2,58.4 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
malachite green,Coriolus antarcticus,20 µM,40 days culture,static,30 °C,2 h,5.2,89.1 %,whole fungi,,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt
Remazol Brilliant Blue R,KRUS - G,500 ppm,Not specified,shaking incubator,28°C,6 days,4,89%,mycelium,Decolorization observed from day 1 to day 5,Decolorization+of+mixtures+of+different+reactive+textile+dyes+by+the+white-rot+basidiomycete+Phanerochaete+sordida+and+inhibitory+effect+of+polyvinyl+alcohol_.txt
Remazol Brilliant Blue R,KRUS - G,100 ppm,Not specified,shaking incubator,28°C,6 days,4,79%,mycelium,Compared with P. chrysosporium and C. subvermispora,Decolorization+of+mixtures+of+different+reactive+textile+dyes+by+the+white-rot+basidiomycete+Phanerochaete+sordida+and+inhibitory+effect+of+polyvinyl+alcohol_.txt
Remazol Brilliant Blue R,KRUS - G,500 ppm,Not specified,shaking incubator,28°C,6 days,4,93.32%,mycelium,Rapid decolorization occurred from day 1 to day 4,Decolorization+of+mixtures+of+different+reactive+textile+dyes+by+the+white-rot+basidiomycete+Phanerochaete+sordida+and+inhibitory+effect+of+polyvinyl+alcohol_.txt
Remazol Brilliant Blue R,KRUS - G,1000 ppm,Not specified,shaking incubator,28°C,6 days,4,Not specified,mycelium,Behavior similar to previous concentrations,Decolorization+of+mixtures+of+different+reactive+textile+dyes+by+the+white-rot+basidiomycete+Phanerochaete+sordida+and+inhibitory+effect+of+polyvinyl+alcohol_.txt
Remazol Brilliant Blue R,KRUS - G,1500 ppm,Not specified,shaking incubator,28°C,6 days,4,Not specified,mycelium,Behavior similar to previous concentrations,Decolorization+of+mixtures+of+different+reactive+textile+dyes+by+the+white-rot+basidiomycete+Phanerochaete+sordida+and+inhibitory+effect+of+polyvinyl+alcohol_.txt
Remazol Brilliant Blue R,P. chrysosporium,100 ppm,Not specified,shaking incubator,28°C,6 days,4,21-23%,mycelium,Comparative results with KRUS - G,Decolorization+of+mixtures+of+different+reactive+textile+dyes+by+the+white-rot+basidiomycete+Phanerochaete+sordida+and+inhibitory+effect+of+polyvinyl+alcohol_.txt
Remazol Brilliant Blue R,C. subvermispora,100 ppm,Not specified,shaking incubator,28°C,6 days,4,63-68%,mycelium,Comparative results with KRUS - G,Decolorization+of+mixtures+of+different+reactive+textile+dyes+by+the+white-rot+basidiomycete+Phanerochaete+sordida+and+inhibitory+effect+of+polyvinyl+alcohol_.txt
Remazol Brilliant Blue R,KRUS - G,500 ppm,Not specified,"static incubator, shaken periodically",28°C,6 days,4,Observational,mycelium,Observed toxic effects on mycelial growth,Decolorization+of+mixtures+of+different+reactive+textile+dyes+by+the+white-rot+basidiomycete+Phanerochaete+sordida+and+inhibitory+effect+of+polyvinyl+alcohol_.txt
Cadmium,Trametes pubescens,10 mg/L,not specified,shaking,28°C,15 days,4.5,53.13%,mycelium,maximum Cd removal rate from aqueous solution,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt
Cadmium,Trametes pubescens,100 mg/L,not specified,shaking,28°C,7 days,not specified,6.565 mg/g,mycelium,highest cadmium adsorption in this experiment,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt
Cadmium,Trametes pubescens,10 mg/L,not specified,not specified,25±2°C,15 days,not specified,"53.54% reduction in roots, 86.38% reduction in shoots",mycelium,T. pubescens significantly reduced cadmium accumulation in rice,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt
Cadmium,Trametes pubescens,10 mg/L,not specified,not specified,25±2°C,15 days,not specified,promoted healthy growth,mycelium,T. pubescens colonization counteracted Cd-stress,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt
Cadmium,Trametes pubescens,0 mg/L,not specified,not specified,28°C,6 days,not specified,not specified,mycelium,growth measurement and inhibition percentage recorded,Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt
Malachite Green,Pseudopestalotiopsis theae,100 ppm,0.5 g,shaking,25 ± 2 °C,14 days,not specified,89.22%,mycelium,FTIR analysis conducted,Fungal+dye+decolourization%3A+Recent+advances+and+future+potential_.txt
Malachite Green,Trichoderma asperellum,100 ppm,0.5 g,shaking,25 ± 2 °C,14 days,not specified,76.19%,mycelium,FTIR analysis conducted,Fungal+dye+decolourization%3A+Recent+advances+and+future+potential_.txt
Malachite Green,Astrocystis bambusae,100 ppm,0.5 g,shaking,25 ± 2 °C,14 days,not specified,67.69%,mycelium,FTIR analysis conducted,Fungal+dye+decolourization%3A+Recent+advances+and+future+potential_.txt
Reactive Red 198,Penicillium simplicissimum,200 mg L-1,,shaking,28°C,7 days,,100%,mycelium,Completely decolorized after 7 days.,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt
Reactive Blue 21,Penicillium simplicissimum,200 mg L-1,,shaking,28°C,2 days,,100%,mycelium,Completely decolorized after 2 days.,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt
Reactive Blue 214,Penicillium simplicissimum,200 mg L-1,,shaking,28°C,7 days,,100%,mycelium,Completely decolorized after 7 days.,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt
Mixture MXD,Penicillium simplicissimum,66.6 mg L-1 per dye,,shaking,28°C,5 days,,100%,mycelium,Completely decolorized after 5 days.,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt
Reactive Red 198,Penicillium simplicissimum,200 mg L-1,,shaking,28°C,14 days,,Moderately acutely toxic after treatment (EC50 = 9.5%),mycelium,Increase in toxicity observed post-treatment.,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt
Reactive Blue 214,Penicillium simplicissimum,200 mg L-1,,shaking,28°C,14 days,,Minor acutely toxic after treatment (EC50 = 34.8%),mycelium,Toxicity reduced from 31.4% to 34.8%.,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt
Reactive Blue 21,Penicillium simplicissimum,200 mg L-1,,shaking,28°C,14 days,,Minor acutely toxic after treatment (EC50 = 20.3%),mycelium,Significant toxicity reduction observed.,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt
Mixture MXD,Penicillium simplicissimum,66.6 mg L-1 per dye,,shaking,28°C,14 days,,Minor acutely toxic after treatment (EC50 = 49.8%),mycelium,Toxicity increased from 42.2% to 49.8%.,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt
Carpet dye,Aspergillus niger,5 ml,1 ml,shaker-incubator,27 °C,7 days,1.62 on 7th day,99.70%,mycelium,COD decreased from 126.6 mg/l to 16.67 mg/l after 7 days,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt
Carpet dye,Aspergillus niger,10 ml,1 ml,shaker-incubator,27 °C,7 days,1.40 on 7th day,99.70%,mycelium,COD decreased from 68.8 mg/l to 10 mg/l after 7 days,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt
Carpet dye,Aspergillus niger,20 ml,1 ml,shaker-incubator,27 °C,7 days,1.61 on 7th day,99.70%,mycelium,COD decreased from 101.67 mg/l to 11.67 mg/l after 7 days,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt
Carpet dye,Aspergillus niger,30 ml,1 ml,shaker-incubator,27 °C,7 days,1.46 on 7th day,99.70%,mycelium,COD decreased from 200 mg/l to 35 mg/l after 7 days,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt
Carpet dye,Aspergillus niger,40 ml,1 ml,shaker-incubator,27 °C,7 days,1.46 on 7th day,99.70%,mycelium,COD decreased from 206 mg/l to 30 mg/l after 7 days,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt
Various,Aspergillus niger,Varied,Mycelial,Shaking,25-30°C,24 hours,5-7,70% reduction,Mycelium,,Mycoremediation%3A+fungal+bioremediation_.txt
Various,Geotrichum candidum,Varied,Mycelial,Shaking,25-30°C,48 hours,5-7,60-70% reduction,Mycelium,,Mycoremediation%3A+fungal+bioremediation_.txt
Vinasse,Coriolus versicolor,10% MSW,Not specified,Static,30°C,10 days,5,53% reduction,Mycelium,MnP and laccase activity influenced decolorization,Mycoremediation%3A+fungal+bioremediation_.txt
Limonene,Rhodotorula,Sole carbon source,Not specified,Static,Varied,Not specified,Not specified,Utilized as carbon source,Not mycelial,Strains can utilize (+)-limonene,Mycoremediation%3A+fungal+bioremediation_.txt
Sugarcane molasses,Saccharomyces cerevisiae,Not specified,10% inoculum,Static,30°C,Not specified,5.5,95% reduction in colored waste,Whole fungi,,Mycoremediation%3A+fungal+bioremediation_.txt
Phenolic compounds,Aspergillus niger,>60 kDa,Mycelial,Continuous stirring,36°C,6 days,5,50% phenolic compounds removed,Mycelium,MnP activity correlated with decolorization performance,Mycoremediation%3A+fungal+bioremediation_.txt
Acid Red 151,A. flavus SA2,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,67.38%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Acid Red 151,A. tereus SA3,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,22.43%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Acid Red 151,Alternaria spp. SA4,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,65.42%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Acid Red 151,Penicillium spp. SA5,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,60.68%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Orange II,A. flavus SA2,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,25.75%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Orange II,A. tereus SA3,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,22.66%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Orange II,Alternaria spp. SA4,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,29.32%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Orange II,Penicillium spp. SA5,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,34.22%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Acid Red 151,A. flavus SA2,20 mg l-1,0.001% (w/v),shaking,30°C,192 hours,assumed optimal,97.70%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Acid Red 151,Alternaria spp. SA4,20 mg l-1,0.001% (w/v),shaking,30°C,192 hours,assumed optimal,98.47%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Orange II,A. flavus SA2,20 mg l-1,0.001% (w/v),shaking,30°C,192 hours,assumed optimal,47.98%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Orange II,Penicillium spp. SA5,20 mg l-1,0.001% (w/v),shaking,30°C,192 hours,assumed optimal,55.68%,whole fungi,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt
Poly R-478,Bjerkandera sp.,0.2 g I-1,not specified,static culture,30 °C,30 days,4.5,17.3 mg I-1,,Decay rates were correlated with enzyme activities.,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt
Poly R-478,Penicillium simplicissimum,0.2 g I-1,not specified,static culture,30 °C,30 days,not specified,not specified,,Oxidized veratryl alcohol via enzymatic pathway.,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt
not specified,Penicillium simplicissimum,not specified,not specified,not specified,30 °C,not specified,5.0-5.5,not specified,,Grew on aromatic compounds as sole carbon source.,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt
not specified,Bjerkandera adusta,not specified,not specified,not specified,not specified,not specified,not specified,not specified,,Produced same aromatic metabolites as Bjerkandera sp. BOS55.,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt
not specified,Bjerkandera spp.,not specified,not specified,not specified,not specified,not specified,not specified,not specified,,Produced chlorinated anisyl metabolites de novo.,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt
not specified,Not specified,not specified,not specified,not specified,not specified,not specified,not specified,high concentrations detected,,Detected in environment samples from various locations.,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt
Methyl orange,P. citrinopileatus,unknown,1 mm,unknown,25°C,20 days,unknown,96.98%,mycelium,,Bioremediation+of+direct+blue+14+and+extracellular+ligninolytic+enzyme+production+by+white+rot+fungi%3A+Pleurotus+Spp._.txt
Congo red,P. flabellatus,unknown,1 mm,unknown,25°C,25 days,unknown,97.42%,mycelium,,Bioremediation+of+direct+blue+14+and+extracellular+ligninolytic+enzyme+production+by+white+rot+fungi%3A+Pleurotus+Spp._.txt
Methyl red,P. flabellatus,unknown,1 mm,unknown,25°C,25 days,unknown,90.67%,mycelium,,Bioremediation+of+direct+blue+14+and+extracellular+ligninolytic+enzyme+production+by+white+rot+fungi%3A+Pleurotus+Spp._.txt
Acid black,P. flabellatus,unknown,1 mm,unknown,25°C,25 days,unknown,84.52%,mycelium,,Bioremediation+of+direct+blue+14+and+extracellular+ligninolytic+enzyme+production+by+white+rot+fungi%3A+Pleurotus+Spp._.txt
